trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,18,12.953507790150272,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,-58.713075888883665,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,10,-26.42347116107404,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",30,0,0.5669132589974908,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",20,4,-30.893666584892763,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,14,11.196221788173208,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",20,11,11.916508998325465,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,0,-40.0090269813824,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,13,5.19952312832738,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,6,-28.825488458305223,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,4,-53.199944216133886,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,12,17.17640970559419,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,11,3.557704069085987,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,12,15.214646287277532,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,5,13.249281973567864,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",30,16,-43.975728177555936,"{0: 9, 1: 2, 2: 1, 3: 2, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",35,24,9.107071992496435,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",30,18,-3.284148633102158,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,0,20.230554364814207,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,3,8.553842752610155,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,4,8.949184184429829,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,10,5.836228036413749,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
